[2023-02-10T16:14:20.103+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.117+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.119+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.120+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-02-10T16:14:20.122+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.140+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): convertCSVToJson> on 2023-02-01 00:00:00+00:00
[2023-02-10T16:14:20.149+0000] {standard_task_runner.py:55} INFO - Started process 465 to run task
[2023-02-10T16:14:20.155+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'database-build', 'convertCSVToJson', 'scheduled__2023-02-01T00:00:00+00:00', '--job-id', '976', '--raw', '--subdir', 'DAGS_FOLDER/db.py', '--cfg-path', '/tmp/tmp5fnzm6p_']
[2023-02-10T16:14:20.157+0000] {standard_task_runner.py:83} INFO - Job 976: Subtask convertCSVToJson
[2023-02-10T16:14:20.243+0000] {task_command.py:388} INFO - Running <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [running]> on host 09837ae8efe0
[2023-02-10T16:14:20.336+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Kevin Chalmers
AIRFLOW_CTX_DAG_ID=database-build
AIRFLOW_CTX_TASK_ID=convertCSVToJson
AIRFLOW_CTX_EXECUTION_DATE=2023-02-01T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-02-01T00:00:00+00:00
[2023-02-10T16:14:20.346+0000] {logging_mixin.py:137} INFO - Woot
[2023-02-10T16:14:20.407+0000] {logging_mixin.py:137} INFO - Angelica Lopez
[2023-02-10T16:14:20.408+0000] {logging_mixin.py:137} INFO - Betty Wright
[2023-02-10T16:14:20.409+0000] {logging_mixin.py:137} INFO - Sara Schmidt
[2023-02-10T16:14:20.410+0000] {logging_mixin.py:137} INFO - Dr. Sherry Rodriguez
[2023-02-10T16:14:20.411+0000] {logging_mixin.py:137} INFO - Rebecca Mills
[2023-02-10T16:14:20.413+0000] {logging_mixin.py:137} INFO - Andrew Anderson
[2023-02-10T16:14:20.414+0000] {logging_mixin.py:137} INFO - Martin Everett
[2023-02-10T16:14:20.415+0000] {logging_mixin.py:137} INFO - Felicia Gregory
[2023-02-10T16:14:20.416+0000] {logging_mixin.py:137} INFO - Kara Bowers
[2023-02-10T16:14:20.418+0000] {logging_mixin.py:137} INFO - Vincent Vincent
[2023-02-10T16:14:20.419+0000] {logging_mixin.py:137} INFO - Morgan Butler
[2023-02-10T16:14:20.420+0000] {logging_mixin.py:137} INFO - Stephen Riley
[2023-02-10T16:14:20.421+0000] {logging_mixin.py:137} INFO - Wanda Thomas
[2023-02-10T16:14:20.423+0000] {logging_mixin.py:137} INFO - Michelle Schultz
[2023-02-10T16:14:20.424+0000] {logging_mixin.py:137} INFO - Christopher Rush MD
[2023-02-10T16:14:20.425+0000] {logging_mixin.py:137} INFO - Phyllis Miles
[2023-02-10T16:14:20.426+0000] {logging_mixin.py:137} INFO - Rebecca Price
[2023-02-10T16:14:20.427+0000] {logging_mixin.py:137} INFO - John Morse
[2023-02-10T16:14:20.429+0000] {logging_mixin.py:137} INFO - Nicholas Sanchez
[2023-02-10T16:14:20.430+0000] {logging_mixin.py:137} INFO - Crystal Dean
[2023-02-10T16:14:20.431+0000] {logging_mixin.py:137} INFO - Tyler Diaz
[2023-02-10T16:14:20.432+0000] {logging_mixin.py:137} INFO - Denise Mclean
[2023-02-10T16:14:20.433+0000] {logging_mixin.py:137} INFO - Daniel Grant
